City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Lanxi,CN,76.69,overcast clouds,29.22,119.48,Shangri-La Hotel
136,Victoria,HK,89.6,scattered clouds,22.29,114.16,Mini Hotel Central
138,Tolbazy,RU,66.2,clear sky,54.02,55.88,Business Centre
140,Cabo San Lucas,MX,79.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
143,Oktyabrskiy,RU,60.82,clear sky,54.48,53.47,Уязы-Тау гостиница
144,Zurrieq,MT,64.99,few clouds,35.83,14.47,Ta' Bertu Host Family Bed & Breakfast
145,Poum,NC,75.65,scattered clouds,-20.23,164.02,Gîte kajeon
146,East London,ZA,62.6,clear sky,-33.02,27.91,Tu Casa
147,Golden,US,73.99,broken clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
148,Humaita,BR,72.84,overcast clouds,-7.51,-63.02,Corrêa Hotel
155,Makubetsu,JP,75.2,few clouds,45.37,141.82,RED BARON Bike Station Wakkanai
158,Magdagachi,RU,62.28,overcast clouds,53.45,125.8,Motopolyana Magdagachi
159,San Quintin,MX,63.68,clear sky,30.48,-115.95,Old Mill Hotel
163,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
165,Fort Oglethorpe,US,69.8,few clouds,34.95,-85.26,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
167,Quelimane,MZ,68.0,scattered clouds,-17.88,36.89,Hotel Flamingo
169,Wajir,KE,76.6,broken clouds,1.75,40.06,Al- Amin lodge
176,Pisco,PE,64.99,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
178,Ahipara,NZ,61.52,broken clouds,-35.17,173.17,Ahipara Holiday Park
180,Hovd,MN,70.07,overcast clouds,48.01,91.64,Hotel Khovd
182,Bontang,ID,86.65,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
184,Barcelona,ES,69.01,few clouds,41.39,2.16,Axel Hotel Barcelona
186,Poronaysk,RU,62.17,clear sky,49.22,143.12,Gostinitsa Sever
188,Padang,ID,87.26,broken clouds,-0.95,100.35,Mercure Padang
189,Akyab,MM,86.14,scattered clouds,20.15,92.9,Hotel Memory
190,San Jose De Las Lajas,CU,75.2,broken clouds,22.96,-82.15,Hostal San José Cuba
192,Cape Canaveral,US,81.0,overcast clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
193,Huarmey,PE,66.63,scattered clouds,-10.07,-78.15,Hotel Miramar
194,Bowen,AU,79.0,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
198,Qostanay,KZ,73.4,few clouds,53.17,63.58,Hotel Fessla
199,Noumea,NC,77.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
200,Manicore,BR,73.11,overcast clouds,-5.81,-61.3,Pousada da wanda
201,Sonipat,IN,86.0,haze,28.98,77.02,Cygnett Lite Sonipat
204,Pokhara,NP,83.95,few clouds,28.23,83.98,Hotel View Point
206,Hirara,JP,86.0,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
207,Bouloupari,NC,75.2,overcast clouds,-21.87,166.05,Oua-Ya Lodge
208,Porto Nacional,BR,71.6,clear sky,-10.71,-48.42,Vila Real Hotel
211,Vilhena,BR,67.41,few clouds,-12.74,-60.15,Hotel Mirage
218,Adra,ES,69.8,broken clouds,36.75,-3.02,Camping Adra
219,Kuala Kedah,MY,86.0,few clouds,6.1,100.3,Artini Homestay
221,Sorong,ID,84.78,few clouds,-0.88,131.25,The Waigo Hotel
222,Puerto Leguizamo,CO,73.58,broken clouds,-0.19,-74.78,la casona de juancho
